"logcon","smooth","K.S"
"1",0.001,NA,2.08939113122142e-07
"2",0.001,NA,1.43355342960838e-05
"3",0.001,NA,8.95304619330517e-09
"4",0.001,NA,3.06603408173345e-06
"5",0.001,NA,5.6327531794409e-07
"6",0.001,NA,3.0099578535947e-05
"7",0.001,NA,6.00175156008076e-05
"8",0.001,NA,5.87538133700605e-08
"9",0.001,NA,8.31554388680544e-08
"10",0.001,NA,2.07652221577703e-05
"11",0.001,NA,5.87538133700605e-08
"12",0.001,NA,7.32900506950074e-09
"13",0.001,NA,3.0099578535947e-05
"14",0.001,NA,0.000304022930789682
"15",0.001,NA,5.87538133700605e-08
"16",0.001,NA,9.87712549738173e-06
"17",0.001,NA,2.07652221577703e-05
"18",0.001,NA,0.00131525699734414
"19",0.001,NA,3.71469395132884e-07
"20",0.001,NA,3.0099578535947e-05
"21",0.001,NA,2.07652221577703e-05
"22",0.001,NA,2.07652221577703e-05
"23",0.001,NA,4.31213369015415e-05
"24",0.001,NA,3.17243209480012e-08
"25",0.001,NA,8.14700074069918e-07
"26",0.001,NA,2.07652221577703e-05
"27",0.001,NA,3.0099578535947e-05
"28",0.001,NA,3.06603408173345e-06
"29",0.001,NA,3.0099578535947e-05
"30",0.001,NA,8.31554388680544e-08
"31",0.001,NA,9.87712549738173e-06
"32",0.001,NA,4.20584944649249e-09
"33",0.001,NA,4.35979807811293e-10
"34",0.001,NA,3.0099578535947e-05
"35",0.001,NA,5.6327531794409e-07
"36",0.001,NA,3.06603408173345e-06
"37",0.001,NA,1.19547458155012e-07
"38",0.001,NA,1.19547458155012e-07
"39",0.001,NA,6.63633287523169e-06
"40",0.001,NA,4.49197988261485e-06
"41",0.001,NA,6.00175156008076e-05
"42",0.003,NA,0.00486178055538844
"43",0.001,NA,1.19547458155012e-07
"44",0.001,NA,3.71469395132884e-07
"45",0.001,NA,1.19547458155012e-07
"46",0.001,NA,9.87712549738173e-06
"47",0.001,NA,2.01829422796784e-06
"48",0.001,NA,6.00175156008076e-05
"49",0.001,NA,4.31213369015415e-05
"50",0.001,NA,4.20584944649249e-09
"51",0.001,NA,1.43355342960838e-05
"52",0.001,NA,2.08939113122142e-07
"53",0.001,NA,2.01829422796784e-06
"54",0.001,NA,0.000165925744671003
"55",0.001,NA,3.17243209480012e-08
"56",0.001,NA,3.17243209480012e-08
"57",0.003,NA,0.00293388097445924
"58",0.001,NA,6.63633287523169e-06
"59",0.001,NA,3.06603408173345e-06
"60",0.001,NA,2.08939113122142e-07
"61",0.001,NA,3.71469395132884e-07
"62",0.001,NA,1.25676477469305e-06
"63",0.001,NA,2.01829422796784e-06
"64",0.001,NA,8.14700074069918e-07
"65",0.001,NA,2.07652221577703e-05
"66",0.001,NA,8.31554388680544e-08
"67",0.001,NA,3.0099578535947e-05
"68",0.001,NA,2.08939113122142e-07
"69",0.001,NA,5.87538133700605e-08
"70",0.001,NA,1.25676477469305e-06
"71",0.001,NA,8.14700074069918e-07
"72",0.001,NA,0.000414535182163278
"73",0.001,NA,6.63633287523169e-06
"74",0.001,NA,4.49197988261485e-06
"75",0.001,NA,3.71469395132884e-07
"76",0.001,NA,4.20584944649249e-09
"77",0.001,NA,2.01829422796784e-06
"78",0.001,NA,1.19547458155012e-07
"79",0.001,NA,2.08939113122142e-07
"80",0.001,NA,4.49197988261485e-06
"81",0.001,NA,1.60258806225499e-10
"82",0.001,NA,3.71469395132884e-07
"83",0.001,NA,0.000995587375361429
"84",0.001,NA,1.3249734642784e-11
