"logcon","smooth","K.S"
"1",0.001,NA,1.43355342960838e-05
"2",0.001,NA,0.0061554466603374
"3",0.001,NA,8.31554388680544e-08
"4",0.001,NA,0.000414535182163278
"5",0.001,NA,5.6327531794409e-07
"6",0.005,NA,0.00293388097445924
"7",0.001,NA,0.00226209984200354
"8",0.001,NA,2.07652221577703e-05
"9",0.001,NA,8.14700074069918e-07
"10",0.008,NA,0.00991306014786442
"11",0.001,NA,4.49197988261485e-06
"12",0.001,NA,5.6327531794409e-07
"13",0.001,NA,0.00173489159612916
"14",0.03,NA,0.0124506515852041
"15",0.001,NA,6.63633287523169e-06
"16",0.002,NA,0.000165925744671003
"17",0.019,NA,0.0153884656148784
"18",0.005,NA,0.0153884656148784
"19",0.001,NA,0.000414535182163278
"20",0.001,NA,0.00131525699734414
"21",0.002,NA,0.000995587375361429
"22",0.002,NA,0.000754051894885976
"23",0.002,NA,0.00379192325370625
"24",0.001,NA,6.63633287523169e-06
"25",0.001,NA,0.000118525403126402
"26",0.002,NA,0.00173489159612916
"27",0.003,NA,0.00131525699734414
"28",0.001,NA,4.49197988261485e-06
"29",0.002,NA,0.00131525699734414
"30",0.001,NA,6.00175156008076e-05
"31",0.001,NA,0.00173489159612916
"32",0.001,NA,6.63633287523169e-06
"33",0.001,NA,2.08939113122142e-07
"34",0.001,NA,0.00226209984200354
"35",0.001,NA,4.31213369015415e-05
"36",0.001,NA,0.000165925744671003
"37",0.001,NA,4.31213369015415e-05
"38",0.001,NA,4.49197988261485e-06
"39",0.001,NA,0.000565698421827632
"40",0.001,NA,0.00173489159612916
"41",0.007,NA,0.0124506515852041
"42",0.017,NA,0.00486178055538844
"43",0.001,NA,4.49197988261485e-06
"44",0.001,NA,1.43355342960838e-05
"45",0.001,NA,2.07652221577703e-05
"46",0.001,NA,0.000304022930789682
"47",0.001,NA,4.31213369015415e-05
"48",0.002,NA,0.000304022930789682
"49",0.001,NA,8.3767285239511e-05
"50",0.001,NA,2.08939113122142e-07
"51",0.001,NA,0.000414535182163278
"52",0.001,NA,0.000225266396098323
"53",0.001,NA,8.3767285239511e-05
"54",0.004,NA,0.00293388097445924
"55",0.001,NA,4.49197988261485e-06
"56",0.001,NA,3.0099578535947e-05
"57",0.007,NA,0.0153884656148784
"58",0.001,NA,0.000995587375361429
